City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
178,Zainsk,55.3195,52.0694,36.59,88,100,18.41,RU,overcast clouds,2021-11-07 01:06:22
179,Saint-Joseph,-21.3667,55.6167,68.38,81,19,9.69,RE,few clouds,2021-11-07 01:06:22
180,Faya,18.3851,42.4509,52.32,64,0,3.67,SA,clear sky,2021-11-07 01:06:22
181,Port Macquarie,-31.4333,152.9167,80.56,61,100,10.56,AU,overcast clouds,2021-11-07 01:05:35
182,Tual,-5.6667,132.75,83.84,72,100,0.43,ID,overcast clouds,2021-11-07 01:06:23
183,Tagusao,9.1924,117.8141,83.23,72,100,3.51,PH,overcast clouds,2021-11-07 01:06:23
184,Luwuk,-0.9516,122.7875,86.68,67,100,3.09,ID,overcast clouds,2021-11-07 01:06:23
185,Gracac,44.3006,15.8547,50.38,93,99,6.42,HR,overcast clouds,2021-11-07 01:06:24
186,Bluff,-46.6,168.3333,65.8,80,96,9.55,NZ,overcast clouds,2021-11-07 01:06:24
187,Vila Franca Do Campo,37.7167,-25.4333,68.41,81,4,15.79,PT,clear sky,2021-11-07 01:05:19
188,Mineros,-17.1167,-63.2333,65.79,62,100,5.99,BO,overcast clouds,2021-11-07 01:06:24
189,Alofi,-19.0595,-169.9187,77.79,76,86,21.32,NU,overcast clouds,2021-11-07 01:06:25
190,Clonakilty,51.6231,-8.8706,47.41,86,36,7.18,IE,scattered clouds,2021-11-07 01:06:25
191,Doha,25.2867,51.5333,76.98,61,0,2.3,QA,clear sky,2021-11-07 01:05:21
192,Jequitinhonha,-16.4339,-41.0033,73.22,96,100,3.0,BR,overcast clouds,2021-11-07 01:06:25
193,Karaton,-6.3424,106.1045,84.96,88,100,4.88,ID,overcast clouds,2021-11-07 01:06:26
194,Kita,13.0349,-9.4895,82.54,39,77,1.01,ML,broken clouds,2021-11-07 01:06:26
195,Almaznyy,48.0448,40.045,50.14,79,83,10.49,RU,broken clouds,2021-11-07 01:06:26
196,Puri,19.8,85.85,66.72,69,8,8.75,IN,clear sky,2021-11-07 01:06:27
197,Bambanglipuro,-7.95,110.2833,80.78,80,100,4.03,ID,light rain,2021-11-07 01:06:27
198,Broome,42.2506,-75.833,39.58,66,0,1.99,US,clear sky,2021-11-07 01:06:27
